coord_x	coord_y
-46.566966	-11.372129
-46.570739	-11.370817
-46.578665	-11.369846
-46.585886	-11.366051
-46.593917	-11.358547
-46.599086	-11.351086
-46.601253	-11.34676
-46.603472	-11.340626
-46.605654	-11.327953
-46.604551	-11.324344
-46.60496	-11.321409
-46.607767	-11.311436
-46.609503	-11.307892
-46.614787	-11.303349
-46.615522	-11.301775
-46.616672	-11.289026
-46.608736	-11.284297
-46.60702	-11.28158
-46.60325	-11.271846
-46.599231	-11.264996
-46.609207	-11.2555
-46.58164	-11.246347
-46.544751	-11.226311
-46.499886	-11.206507
-46.487719	-11.204638
-46.471939	-11.190759
-46.466173	-11.182677
-46.458171	-11.167415
-46.452954	-11.155765
-46.448919	-11.126966
-46.448827	-11.108132
-46.447138	-11.091894
-46.435545	-11.06784
-46.427781	-11.048094
-46.421321	-11.035502
-46.414833	-11.0287
-46.408963	-11.021125
-46.405713	-11.019268
-46.40349	-11.01376
-46.401808	-10.999191
-46.398515	-10.99397
-46.377511	-10.980438
-46.368186	-10.969029
-46.360114	-10.96134
-46.35477	-10.957325
-46.333981	-10.945993
-46.3283	-10.942198
-46.323504	-10.936836
-46.320327	-10.930499
-46.316935	-10.927173
-46.310456	-10.922489
-46.286113	-10.910048
-46.282997	-10.906328
-46.282109	-10.902069
-46.2831	-10.897104
-46.295151	-10.875396
-46.296944	-10.866835
-46.295649	-10.860791
-46.284877	-10.838513
-46.283523	-10.831634
-46.279095	-10.824573
-46.272676	-10.820271
-46.269661	-10.820734
-46.255888	-10.816941
-46.245886	-10.811974
-46.233438	-10.804362
-46.229381	-10.798158
-46.226893	-10.788777
-46.225522	-10.769888
-46.227198	-10.766374
-46.229836	-10.764411
-46.24267	-10.762077
-46.24954	-10.761822
-46.251331	-10.758637
-46.25101	-10.756652
-46.249424	-10.754157
-46.243339	-10.749338
-46.237818	-10.747096
-46.229153	-10.742031
-46.216434	-10.731902
-46.207261	-10.726145
-46.2012	-10.72447
-46.195162	-10.721594
-46.192142	-10.719295
-46.190423	-10.711773
-46.189915	-10.704108
-46.190689	-10.698137
-46.18825	-10.693396
-46.186468	-10.686697
-46.187525	-10.682612
-46.196332	-10.671122
-46.205725	-10.663522
-46.211613	-10.654136
-46.210554	-10.64925
-46.205945	-10.646289
-46.203638	-10.643134
-46.20227	-10.643596
-46.199577	-10.641986
-46.195333	-10.635131
-46.18877	-10.631359
-46.18747	-10.628749
-46.187468	-10.626117
-46.180385	-10.624992
-46.177		-10.623748
-46.173031	-10.620962
-46.16697	-10.618923
-46.161026	-10.622136
-46.158859	-10.627504
-46.155943	-10.629519
-46.136915	-10.621863
-46.128109	-10.621291
-46.111581	-10.618052
-46.108448	-10.615263
-46.107331	-10.613192
-46.104858	-10.612568
-46.10311	-10.610224
-46.095221	-10.604156
-46.076663	-10.606698
-46.068857	-10.604934
-46.064084	-10.602343
-46.062491	-10.599718
-46.060861	-10.598548
-46.059049	-10.59303
-46.060495	-10.576695
-46.059463	-10.574073
-46.056079	-10.571293
-46.036079	-10.56934
-46.027356	-10.566673
-46.025942	-10.564147
-46.024723	-10.556538
-46.025376	-10.549201
-46.024608	-10.542357
-46.016126	-10.536103
-46.013553	-10.535037
-46.001915	-10.534474
-45.993908	-10.535944
-45.989526	-10.534674
-45.98758	-10.533317
-45.985466	-10.530231
-45.983716	-10.529596
-45.980141	-10.530153
-45.974278	-10.529608
-45.970769	-10.528155
-45.968189	-10.524076
-45.965808	-10.51482
-45.961666	-10.509287
-45.958437	-10.50783
-45.955969	-10.505571
-45.953127	-10.505389
-45.945563	-10.50125
-45.943079	-10.499411
-45.940633	-10.495825
-45.93719	-10.492602
-45.906272	-10.473265
-45.903641	-10.469133
-45.900299	-10.460454
-45.896186	-10.45526
-45.88722	-10.448764
-45.879162	-10.445243
-45.86955	-10.439844
-45.864384	-10.438462
-45.854301	-10.437341
-45.848803	-10.437514
-45.833888	-10.440172
-45.830354	-10.438316
-45.827304	-10.435538
-45.821994	-10.418183
-45.819247	-10.411875
-45.819306	-10.4086
-45.820716	-10.405315
-45.826088	-10.40124
-45.83044	-10.393647
-45.830154	-10.380257
-45.828687	-10.372021
-45.826967	-10.367821
-45.817853	-10.360053
-45.797051	-10.352285
-45.780414	-10.350604
-45.750713	-10.351559
-45.742658	-10.346314
-45.738023	-10.342023
-45.723635	-10.316803
-45.721141	-10.309668
-45.719585	-10.296516
-45.714086	-10.284073
-45.705193	-10.269755
-45.697114	-10.263147
-45.695668	-10.257273
-45.695945	-10.252266
-45.698694	-10.238708
-45.698606	-10.225995
-45.697889	-10.220651
-45.699025	-10.215731
-45.697726	-10.215024
-45.70242	-10.202608
-45.70367	-10.194331
-45.705499	-10.18786
-45.705355	-10.185593
-45.701833	-10.181834
-45.699772	-10.178048
-45.698864	-10.166436
-45.699946	-10.165515
-45.702245	-10.165121
-45.712997	-10.167244
-45.715436	-10.166482
-45.718615	-10.163078
-45.721668	-10.158221
-45.722676	-10.15474
-45.715832	-10.152193
-45.711719	-10.152686
-45.708207	-10.155583
-45.703454	-10.156571
-45.68976	-10.154982
-45.678407	-10.150424
-45.66889	-10.144947
-45.659433	-10.134463
-45.648349	-10.126916
-45.638827	-10.125785
-45.619244	-10.114297
-45.610687	-10.110205
-45.602761	-10.107563
-45.597957	-10.10791
-45.592813	-10.109879
-45.583476	-10.116575
-45.578938	-10.121516
-45.567043	-10.139104
-45.565342	-10.146503
-45.56502	-10.159559
-45.566318	-10.1656
-45.571234	-10.180521
-45.570902	-10.18647
-45.566896	-10.201066
-45.562106	-10.210433
-45.556453	-10.217724
-45.556155	-10.216483
-45.550402	-10.221862
-45.542079	-10.227037
-45.530503	-10.232766
-45.525772	-10.236509
-45.522941	-10.243721
-45.522442	-10.246723
-45.52194	-10.276234
-45.520696	-10.279879
-45.516913	-10.286021
-45.513946	-10.289417
-45.501825	-10.294842
-45.496956	-10.298102
-45.490277	-10.300601
-45.484249	-10.304469
