"homicide"  "popsize" "propinc"  "unemp"
11.2   587   16.5   6.2
13.4   643   20.5   6.4
40.7   635   26.3   9.3
5.3    692   16.5   5.3
24.8   1248  19.2   7.3
12.7   643   16.5   5.9
20.9   1964  20.2   6.4
35.7   1531  21.3   7.6
8.7    713   17.2   4.9
9.6    749   14.3   6.4
14.5   7895  18.1   6.0
26.9   762   23.1   7.4
15.7   2793  19.1   5.8
36.2   741   24.7   8.6
18.1   625   18.6   6.5
28.9   854   24.9   8.3
14.9   716   17.9   6.7
25.8   921   22.4   8.6
21.7   595   20.2   8.4
25.7   3353  16.9   6.7
 
 
 

